"cafeno","name","address","business_hours","tel"
"7","아지트","서울 종로구 평동 233 1층 3161호","",""
"10","커피베이 경희궁자이점","서울 종로구 평동 233 3106호","","02-6080-8019"
"15","바빈스커피 서대문경희궁자이점","서울 종로구 송월길 99 상가동 2124호","","02-722-3177"
"17","난쏘공","서울 종로구 사직로1길 12","",""
"19","카페우분투","서울 종로구 홍파동 107","",""
"39","산다미아노","서울 중구 정동길 9","월~금 08:00 ~ 21:00","02-6364-2233"
"53","룩아워티 with 한삼인카페 서대문점","서울 중구 통일로 120 농협은행 1층","월~금 08:00 ~ 19:00","02-733-0132"
"61","커피테이크아웃","서울 서대문구 독립문로14길 22","",""
"67","투썸플레이스 서대문KT&G타워점","서울 서대문구 충정로 60","월~금 07:30 ~ 21:00","02-312-3800"
"68","경기다방","서울 서대문구 충정로9길 12","",""
"70","카페가가","서울 서대문구 충정로 67-1","","02-365-5847"
"76","G카페","서울 중구 새문안로 28","","02-738-7349"
"79","서대문연가","서울 서대문구 통일로 107-29","",""
"84","카페카멜로 서대문점","서울 서대문구 경기대로 58","","02-365-1701"
"91","퓨로커피 충정로점","서울 서대문구 경기대로9길 24 경기대 본관 1층","","070-7600-7336"
"99","아재카페 정동점","서울 중구 정동길 3 경향아트힐 1층","","02-720-4567"
"110","클레어스","서울 서대문구 통일로 105","",""
"112","버블톡","서울 중구 정동길 3","","02-6387-2345"
"120","이디야커피 독립문통일로점","서울 서대문구 통일로 203-1 1층","월~금 08:00 ~ 23:30","02-365-1238"
"125","카페루이스 충정로점","서울 서대문구 충정로 45","","02-313-8149"
"127","할리스커피 광화문LG점","서울 종로구 새문안로 58 1층, 지하1층","월~금 08:00 ~ 19:00","070-8861-6995"
"129","벙커1","서울 서대문구 충정로 20","매일 11:30 ~ 23:00","02-771-7707"
"132","카페소확행","서울 서대문구 독립문로4길 5-10 1층","월~금 11:00 ~ 22:00",""
"139","만랩커피 덕수궁롯데캐슬점","서울 중구 서소문로9길 28","","02-318-1027"
"144","카페느티","서울 종로구 경희궁길 9","월~금 09:00 ~ 21:00","02-730-4567"
"153","밀라노커피","서울 서대문구 충정로6길 59","","02-3147-1225"
"156","카페큐브 로비점","서울 종로구 새문안로 68 1층","","070-4509-9222"
"158","카페게더 광화문점","서울 종로구 새문안로3길 3 1층","월~금 07:00 ~ 22:00","02-738-4290"
"165","나무사이로","서울 종로구 사직로8길 21","매일 10:00 ~ 22:00","070-7590-0885"
"166","투썸플레이스 광화문점","서울 종로구 새문안로 85","매일 07:00 ~ 23:00","02-734-2368"
"167","스타벅스 경희궁로점","서울 종로구 새문안로3길 15","월~금 07:00 ~ 20:30","1522-3232"
"171","빌리엔젤 광화문점","서울 종로구 새문안로 92 1층","매일 08:00 ~ 22:00","070-5051-8145"
"172","카페아이엠티 충정로점","서울 서대문구 경기대로 26-20 명학하우스 101호","","02-393-4862"
"174","폴바셋 신문로점","서울 종로구 새문안로3길 12 1층","매일 09:00 ~ 22:00","02-723-1991"
"176","나무야","서울 서대문구 서소문로 43-22","월~금 10:00 ~ 23:00",""
"179","스태픽스","서울 종로구 사직로9길 22 102호","월요일","010-4274-2055"
"182","덕수궁 리에제와플","서울 중구 덕수궁길 5","",""
"184","다이닝카페61","서울 종로구 경희궁길 43","","02-730-8959"
"190","까페우리","서울 종로구 경희궁1길 27","",""
"198","스타벅스 새문안로점","서울 종로구 새문안로 92 광화문 오피시아빌딩 1, 2층","월~금 07:00 ~ 21:00","1522-3232"
"206","52로스터스랩","서울 중구 서소문로11길 14","월~금 07:00 ~ 21:00","070-7761-5222"
"210","스타벅스 광화문R점","서울 종로구 세종대로 167 현대해상본사사옥 별관내","월~금 06:30 ~ 22:00","1522-3232"
"212","이디야커피 중림점","서울 중구 청파로 464","월~금 07:30 ~ 22:30","02-313-5057"
"214","호두라니","서울 서대문구 성산로 700","","02-358-8488"
"216","이디야커피 충정로3가점","서울 서대문구 경기대로 26-26","월~금 08:00 ~ 22:00",""
"218","스타벅스 스페이스본점","서울 종로구 사직로8길 4 광화문 풍림 스페이스본 201동 109호,110호","월~금 07:00 ~ 21:00","1522-3232"
"222","할리스커피 세종로점","서울 종로구 세종대로 161 2,3층","매일 00:00 ~ 24:00","02-720-5582"
"227","할리스커피 광화문점","서울 중구 세종대로21길 55 1층","매일 07:00 ~ 22:00","02-738-8004"
"230","커피온더힐","서울 종로구 새문안로3길 11","","02-723-0988"
"234","마농트로포","서울 종로구 사직로9가길 10 1층","매일 11:00 ~ 21:00","02-794-0011"
"237","카페말로 순화점","서울 중구 서소문로 89 순화빌딩","월~토 08:00 ~ 21:00","02-318-1135"
"241","투썸플레이스 광화문역점","서울 중구 세종대로 135-9","월~금 07:00 ~ 22:30","02-720-2102"
"249","뜨락","서울 중구 덕수궁길 15","","02-2133-1178"
"253","포시즌스호텔 마루","서울 종로구 새문안로 97 포시즌스호텔 로비층","매일 11:00 ~ 22:00","02-6388-5000"
"255","쉴만한물가","서울 종로구 경희궁2길 5-6","","070-4174-6439"
"258","5카페갤러리","서울 종로구 경희궁1길 33-32 5빌딩","",""
"260","쇼콜라디제이","서울 종로구 사직로8길 20","","02-733-7911"
"261","이디야커피 광화문점","서울 종로구 세종대로23길 15","","02-738-0303"
"265","커피집단카페소프트 충정로지점","서울 중구 서소문로 50","","02-336-4921"
"267","폴키","서울 종로구 사직로9길 6 1층","매일 10:00 ~ 22:00","02-722-0855"
"271","오디디","서울 종로구 필운대로 25-2 1층","월,수,목,금,토,일 11:00 ~ 22:00","010-3091-0521"
"274","카페마마스 시청점","서울 중구 무교로 16 체육회관빌딩 1층","매일 10:30 ~ 20:30","02-318-1230"
"277","이디야커피 충정로역점","서울 중구 중림로 10","매일 08:00 ~ 22:00","02-312-8142"
"278","커피원","서울 종로구 새문안로3길 12","",""
"279","탐앤탐스 대한항공서소문점","서울 중구 서소문로 117 대한항공빌딩 1층","월~금 07:00 ~ 21:00","02-3789-3565"
"281","컴포즈커피 서소문점","서울 중구 서소문로11길 6","",""
"283","엔제리너스 세종로점","서울 종로구 세종대로 169 1,2층","월~금 07:00 ~ 22:00","02-739-6405"
"284","이디야커피 세종로점","서울 중구 세종대로21길 67","월~금 07:00 ~ 22:00","02-736-8822"
