cafeno,name,r1,r2,r3,r4,r5,r6
7,아지트,최고예요,,,,,
10,커피베이 경희궁자이점,최고예요,,,,,
17,난쏘공,커피랑 분위기는 넘 좋아요 !  근데 가끔씩 카페에서 담배냄새가 넘 많이 나요 ㅠㅠ .... ,"아주 예쁘고 드립커피, 카카오초콜렛라떼 맛 있어요.",,,,
39,산다미아노,주말이라 옆에 성당 결혼식 하객들인지 단체손님들 와서 시끄럽네요 책읽을 분위기 아님... 주말피해서 오세요,최고!,분위기는 좋고 커피는 그저 그렇다,쿠키가 쫀득하고 맛있어요 ♡,보통이에요,
53,룩아워티 with 한삼인카페 서대문점,그냥 가까워서 별기대안하고 갔는데 음료가 맛있어요. ,별로예요,,,,
67,투썸플레이스 서대문KT&G타워점,보통이에요,보통이에요,아침에 조용히 모닝커피 할 수 있다,,,
70,카페가가,최고예요,좋아요,,,,
84,카페카멜로 서대문점,인문사회과학,좋아요,,,,
120,이디야커피 독립문통일로점,아르바이트하시는 분이 친절하심,공부하거나 책읽기 좋아요!! ,,,,
125,카페루이스 충정로점,사장님이 친절하고 샌드위치가 대박이에요,진ㅉㅏ별로던데 물어볼거 있어서 전화했더니... 주문전화라 당장 끊으라고,"올해 5월부터 주인이 바뀌어서 갔더니 주인이 처음보는데도 반갑게 여기고, 어떠한 주문도 잘 받아주고, 맛도 괜찮았음.. 특히 주인이 친절하고 장난끼가 많아서 좋음.",,,
127,할리스커피 광화문LG점,1층 로비 매장도 있고..또 지하매장도 있네요.. 별도 세미나룸과 흡연실도 있구.. 아무튼 싸고 맛있는 할리치노와 아이스커피 좋았습니다.  바쁜 일상에 최고..,,,,,
129,벙커1,보통이에요,나쁘지 않았어요,최고예요,백라면 대박... 재료 모두 국산에 맛도 진짜 충정로맛집 인정할 수준~!!! 주진우유티도 맛나여.,최고예요,
139,만랩커피 덕수궁롯데캐슬점,최고예요,최고예요,,,,
144,카페느티,좋아요,좋아요,까페라떼 맛없음 커피 맛없는 탄내나고 예전은 괜찮았는데 진짜별로,그리 북적이지 않고 공부하고 책보기 괜찮은 곳,"음료수를 따로 주문했음에도.. 직원들의 요구에 따라,  들고 있던 커피를 길 바닥에 버려야 했습니다. ~~  40 평생에 이런 커피점은 처음 봅니다..  세상 사는 것이 점점 삭막해져 가는 듯 합니다.. ",
156,카페큐브 로비점,괜찮음,영화보고 이벤트로 와인1+1으로 마셨어요 직원분도 친절하고 약간의 견과류도 잘 먹었어요 작지만 분위기 괜찮은 곳입니다,,,,
158,카페게더 광화문점,주말에 와봤는데 한적하고 좋네요. 내부가 넓고 깔끔합니다. 커피맛은 무난했고 준비중이시라는 브런치메뉴(오믈렛)는 아주 맛있었어요. 광화문 한복판에 이렇게 넓고 한적한 공간을 즐길 수 있다는 점에서 이미 만족입니다.,최고예요,,,,
165,나무사이로,티라미수 맛집 커피도 맛 괜찮았어요 담엔 다크우드(원두)먹어보고 싶네요  다만 친환경으로 매장내에선 다회용 컵 사용한다고 했는데 떡하니 일회용으로 주셨어요 ;;,드립커피 맛있네요 사람이 꽉차면 소리가 울리네요 다음에 사람 없을 때 와 봐야겠어요,좋아요,"품질 좋고 맛있는 커피와 음료, 티라미수, 내추럴 와인과 맥주, 분위기, 뭘 물어도 답이 척척 나오는 친절하고 해박한 바리스타까지, 최고!",밀크티는 쓰기만하고 감귤은 무슨 이상한 맛이나요 ,
166,투썸플레이스 광화문점,좋은데 노래가 너무 큼.... ,시끄러운 광화문 카페들 중 그나마 조용한 곳,3층의 라이브러리 컨셉 공간 마음에들어요. 스터디 공간 및 라이브러리인만큼 배경음악 소리는 좀 잔잔한 음악으로 덜 크게 틀었다면 별 다섯개. 공간은 좋았지만 배경음악이 너무 요란하고 귓청을 때려서 한시간 이상 지나니 지치고 집중력이 떨어졌어요. ,조용해서좋음,카페 깔끔하고 크고 층수 3층까지 있음(1층 주문 나머지층 자리) 1인용 자리도 있고 다인용 자리도 있음 와이파이 속도 나쁘지 않은편  조용함 화장실 내부에 있음 직원들이 자주 돌아다님. 청결에 신경 쓰는 매장 같음 (항상 고생하십니다ㅠ),
167,스타벅스 경희궁로점,조용하고 한적해서 좋음,생긴지 얼마 안되서그런지 사람도 많지않고 깔끔해서 좋아요,촉촉 초콜렛 케익이 정말 퍼석하고 마른 느낌이었습니다. 만든지 며칠은 된듯하네요.... ,,,
171,빌리엔젤 광화문점,스타벅스나 투썸 커피빈으로 대체되지 않는다,최고예요,매장이 넓고 쾌적,,,
172,카페아이엠티 충정로점,가성비 구웃,최고예요,,,,
174,폴바셋 신문로점,직원분이 천사세요......,오픈 시간이 너무 늦다. 9시라니. ,좋아요,불친절함을 커피맛으로 상쇄함,내 사랑 폴바셋,
179,스태픽스,분위기가 아주 좋아요,엄청 넓은데 그거말고는 딱히 특이점없움,가을에 갔는데 노란 은행나무가 예뻐열. 디터람스 갬성 그득그득한 공간 좋아열. 근데 음료는 별로. 노래도 진촤 시끄럽고 시장통이 따로 업써열. 두번은 안가열. ,풍경최고~ ,실내에 앉았는데 음악 소리가 고막 찢어질듯해서 카운터 가서 요청. 직원 5명이 내가 다섯 번 불러도 아무도 못 들음. 카페 컨셉이라 참으라는 답변. 커피 밍밍~,
182,덕수궁 리에제와플,최악 비싸고 왜 줄서서 사먹는지 모르겠음 베스트메뉴 초코 뭐시기랑 크림치즈 먹었는데 둘다 맛이 너무 과함. 디저트 좋아하는데 여기꺼는 친구랑 두입씩 먹고 그냥 버림,손님도 없는데 구워논 거 대충 다시 데워주네요 그리고 온 거 뻔히 쳐다보면서 주문받으러 안오다가 계속 기다리니까 그제야 나오네요. 가길 기다렸는데 안가서 마지못해 나온것마냥,좋아요,미리 만들어놔서 식은 와플을 줍니다,맛이 변했어요 ㅠㅠ 우울..,
184,다이닝카페61,매콤한 오징어 샐러드가 별미 인테리어도 인상적^^,,,,,
